date,place,section,subject,time,title,url
30 мая 2017 года,,"Новости, Выступления и стенограммы",Внешняя политика,17:30,Опубликована статья Владимира Путина «Россия и Индия: 70 лет вместе»,http://kremlin.ru/catalog/keywords/82/events/54633
27 мая 2017 года,,Новости,Внешняя политика,14:50,Соболезнования Президенту Шри-Ланки Майтрипале Сирисене,http://kremlin.ru/catalog/keywords/82/events/54606
28 мая 2017 года,,Новости,Внешняя политика,10:00,Поздравление Президенту Азербайджана с Днём Республики,http://kremlin.ru/catalog/keywords/82/events/54609
29 мая 2017 года,,Документы,"Внешняя политика, Экономика и финансы",09:15,Подписан закон о ратификации Протокола между участниками Договора о зоне свободной торговли о правилах и процедурах регулирования госзакупок,http://kremlin.ru/catalog/keywords/82/events/54611
29 мая 2017 года,,Новости,Внешняя политика,14:30,Владимир Путин прибыл в Париж,http://kremlin.ru/catalog/keywords/82/events/54616
29 мая 2017 года,Париж,Новости,Внешняя политика,18:30,Встреча с Президентом Франции Эммануэлем Макроном,http://kremlin.ru/catalog/keywords/82/events/54617
29 мая 2017 года,Париж,"Новости, Выступления и стенограммы",Внешняя политика,18:40,Совместная пресс-конференция с Президентом Франции Эммануэлем Макроном,http://kremlin.ru/catalog/keywords/82/events/54618
14 − 15 мая 2017 года,"Зарубежный визит, 7 событий",Поездки,Внешняя политика,,Визит в Китай,http://kremlin.ru/catalog/keywords/82/events/54504
15 мая 2017 года,Пекин,"Новости, Выступления и стенограммы",Внешняя политика,08:00,"Заседание круглого стола лидеров форума «Один пояс, один путь»",http://kremlin.ru/catalog/keywords/82/events/54496
15 мая 2017 года,Пекин,"Новости, Выступления и стенограммы","Внешняя политика, СМИ",13:20,Ответы на вопросы журналистов,http://kremlin.ru/catalog/keywords/82/events/54499
17 мая 2017 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,14:10,Встреча с премьер-министром Италии Паоло Джентилони,http://kremlin.ru/catalog/keywords/82/events/54509
17 мая 2017 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,14:40,Заявления для прессы и ответы на вопросы журналистов по итогам российско-итальянских переговоров,http://kremlin.ru/catalog/keywords/82/events/54511
3 мая 2017 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,17:10,Российско-турецкие переговоры,http://kremlin.ru/catalog/keywords/82/events/54442
3 мая 2017 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,17:40,Пресс-конференция по итогам российско-турецких переговоров,http://kremlin.ru/catalog/keywords/82/events/54444
5 мая 2017 года,,Новости,Внешняя политика,12:20,Телефонный разговор с Президентом Киргизии Алмазбеком Атамбаевым,http://kremlin.ru/catalog/keywords/82/events/54454
5 мая 2017 года,,Новости,Внешняя политика,16:00,Телефонный разговор с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/54456
30 мая 2017 года,"Москва, Кремль",Новости,"Внешняя политика, Социальная сфера, Экономика и финансы",22:20,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/54637
14 апреля 2017 года,"Зарубежный визит, 3 события",Поездки,Внешняя политика,,Визит в Киргизию,http://kremlin.ru/catalog/keywords/82/events/54299
17 апреля 2017 года,,Документы,Внешняя политика,13:00,Подписан закон о ратификации Договора между Россией и Узбекистаном о развитии военно-технического сотрудничества,http://kremlin.ru/catalog/keywords/82/events/54304
18 апреля 2017 года,,Новости,Внешняя политика,00:50,"Телефонный разговор с Ангелой Меркель, Франсуа Олландом и Петром Порошенко",http://kremlin.ru/catalog/keywords/82/events/54323
18 апреля 2017 года,,Новости,Внешняя политика,21:15,Телефонный разговор с Президентом Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/54330
19 апреля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:50,Встреча с главой Постоянного комитета Всекитайского собрания народных представителей Чжан Дэцзяном,http://kremlin.ru/catalog/keywords/82/events/54338
8 мая 2017 года,,Новости,Внешняя политика,10:40,Поздравление Эммануэлю Макрону с избранием на пост Президента Франции,http://kremlin.ru/catalog/keywords/82/events/54465
5 апреля 2017 года,,Выступления и стенограммы,Внешняя политика,15:00,Начало российско-узбекистанских переговоров в расширенном составе,http://kremlin.ru/catalog/keywords/82/events/54222
5 апреля 2017 года,,"Новости, Выступления и стенограммы",Внешняя политика,16:20,Заявления для прессы по итогам российско-узбекистанских переговоров,http://kremlin.ru/catalog/keywords/82/events/54223
5 апреля 2017 года,,Выступления и стенограммы,Внешняя политика,17:00,Выступления на государственном обеде от имени Президента России Владимира Путина в честь Президента Узбекистана Шавката Мирзиёева,http://kremlin.ru/catalog/keywords/82/events/54224
5 апреля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:00,Российско-узбекистанские переговоры,http://kremlin.ru/catalog/keywords/82/events/54219
5 апреля 2017 года,Москва,Новости,"Внешняя политика, Культура",18:00,Посещение Государственного музея изобразительных искусств имени А.С.Пушкина,http://kremlin.ru/catalog/keywords/82/events/54225
